time,high,low,open,close,conversionType,conversionSymbol
1641860520,41748.45,41707.7,41720.03,41708.18,direct,
1641860580,41716.56,41687.14,41708.18,41696.18,direct,
1641860640,41701.15,41684.17,41696.18,41684.83,direct,
1641860700,41713.95,41682.28,41684.83,41703.49,direct,
1641860760,41717.71,41701.37,41703.49,41713.55,direct,
1641860820,41718.55,41685.32,41713.55,41691.34,direct,
1641860880,41703.7,41687.13,41691.34,41693.19,direct,
1641860940,41712.01,41691.08,41693.19,41700.21,direct,
1641861000,41761.22,41663.76,41700.21,41757.02,direct,
1641861060,41758.73,41739.05,41757.02,41743.3,direct,
1641861120,41763.73,41733.39,41743.3,41743.5,direct,
1641861180,41757.79,41724.28,41743.5,41726.67,direct,
1641861240,41739.94,41715.12,41726.67,41715.12,direct,
1641861300,41718.65,41679.6,41715.12,41686.06,direct,
1641861360,41720.13,41683.96,41686.06,41720.13,direct,
1641861420,41724.1,41704.95,41720.13,41718.25,direct,
1641861480,41724.58,41670.89,41718.25,41675.91,direct,
1641861540,41694.06,41671.31,41675.91,41693.53,direct,
1641861600,41694.76,41658.2,41693.53,41666.36,direct,
1641861660,41679.56,41653.58,41666.36,41671.79,direct,
1641861720,41695.43,41667.84,41671.79,41681.42,direct,
1641861780,41689.76,41672.35,41681.42,41688.48,direct,
1641861840,41718.35,41688.48,41688.48,41713.36,direct,
1641861900,41726.9,41712.87,41713.36,41726.88,direct,
1641861960,41753.97,41719.16,41726.88,41741.63,direct,
1641862020,41762.42,41739.49,41741.63,41743.61,direct,
1641862080,41753.83,41734.76,41743.61,41739.02,direct,
1641862140,41767.34,41739.02,41739.02,41764.57,direct,
1641862200,41775.04,41763.15,41764.57,41771.76,direct,
1641862260,41774.2,41740.49,41771.76,41741.08,direct,
1641862320,41741.8,41727.26,41741.08,41729.93,direct,
1641862380,41746.1,41728.06,41729.93,41744.42,direct,
1641862440,41759.49,41739.24,41744.42,41759.49,direct,
1641862500,41759.65,41716.67,41759.49,41716.67,direct,
1641862560,41718.88,41685.24,41716.67,41685.24,direct,
1641862620,41685.24,41617.46,41685.24,41619.59,direct,
1641862680,41644.4,41618.26,41619.59,41628.29,direct,
1641862740,41639.27,41613.34,41628.29,41615.88,direct,
1641862800,41636.28,41609.79,41615.88,41616.6,direct,
1641862860,41630.63,41611.9,41616.6,41617.51,direct,
1641862920,41624.27,41601.45,41617.51,41609.49,direct,
1641862980,41671.89,41570.42,41609.49,41658.84,direct,
1641863040,41675.1,41636.86,41658.84,41673.89,direct,
1641863100,41685.46,41649.94,41673.89,41683.83,direct,
1641863160,41690.87,41668.59,41683.83,41690.68,direct,
1641863220,41695.52,41682.21,41690.68,41694.38,direct,
1641863280,41707.37,41691.62,41694.38,41697.1,direct,
1641863340,41708.16,41693.8,41697.1,41707.7,direct,
1641863400,41715.41,41675.38,41707.7,41678.95,direct,
1641863460,41680.4,41661.96,41678.95,41669.44,direct,
1641863520,41671.7,41630.7,41669.44,41630.7,direct,
1641863580,41648.71,41618.51,41630.7,41634.48,direct,
1641863640,41645.49,41634.48,41634.48,41640.17,direct,
1641863700,41642.48,41595.78,41640.17,41636.66,direct,
1641863760,41645.55,41636.66,41636.66,41643.3,direct,
1641863820,41649.37,41637.7,41643.3,41648.63,direct,
1641863880,41679.33,41640.75,41648.63,41676.97,direct,
1641863940,41711.38,41669.9,41676.97,41711.38,direct,
1641864000,41728.62,41701.69,41711.38,41725.22,direct,
1641864060,41726.44,41712.2,41725.22,41721.72,direct,
1641864120,41724.61,41701.51,41721.72,41704.85,direct,
1641864180,41707.38,41690.48,41704.85,41694.05,direct,
1641864240,41712.86,41693.21,41694.05,41712.86,direct,
1641864300,41745.64,41706.93,41712.86,41737.24,direct,
1641864360,41739.12,41726.3,41737.24,41728.26,direct,
1641864420,41799.93,41728.12,41728.26,41781.83,direct,
1641864480,41810.09,41778.48,41781.83,41804.31,direct,
1641864540,41811.74,41792.07,41804.31,41810.06,direct,
1641864600,41833.3,41805.95,41810.06,41833.3,direct,
1641864660,41858.47,41831.21,41833.3,41856.62,direct,
1641864720,41870.94,41850.83,41856.62,41870.6,direct,
1641864780,41991.72,41866.58,41870.6,41991.72,direct,
1641864840,42041.46,41991.72,41991.72,42007.83,direct,
1641864900,42071.07,41990.18,42007.83,42032.6,direct,
1641864960,42032.6,41995.87,42032.6,42001.16,direct,
1641865020,42001.16,41958.08,42001.16,41981.78,direct,
1641865080,41981.78,41939.12,41981.78,41950.72,direct,
1641865140,41956.91,41928.97,41950.72,41932.41,direct,
1641865200,41932.41,41907.26,41932.41,41917.83,direct,
1641865260,41927.86,41903.31,41917.83,41904.59,direct,
1641865320,41910.74,41904.59,41904.59,41910.74,direct,
1641865320,41929.81,41900.4,41904.59,41924.31,direct,
1641865380,41926.19,41924.31,41924.31,41926.19,direct,
